id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
399,Koondukkili,Tamil,7.6,1994,NR,104.0
401,The Taking of Tiger Mountain,English,6.4,2014,18+,137.0
402,Zid,Hindi,4.4,2014,18+,128.0
406,Patel Sir,Telugu,5.6,2017,13+,129.0
408,Madmast Barkhaa,Hindi,3.6,2015,NR,102.0
409,Bobby,Malayalam,7.0,2017,NR,140.0
410,Spark: A Space Tail,English,4.5,2017,7+,88.0
411,Kuch Tum Kaho Kuch Hum Kahein,Hindi,5.6,2002,All,172.0
412,Inception,Hindi,8.8,2010,13+,148.0
413,Stripper,English,5.9,1986,18+,90.0
414,Jugni Yaaran Di,Punjabi,4.9,2019,13+,115.0
416,Just Let Go,English,6.8,2015,16+,106.0
417,Dracula Sir,Bengali,7.2,2020,13+,125.0
419,Drive Angry,Hindi,5.4,2011,18+,100.0
420,Fresh Dressed,English,6.6,2015,18+,82.0
422,Journey 2: The Mysterious Island,Hindi,5.8,2012,All,94.0
426,Man on a Ledge,English,6.6,2012,13+,102.0
427,Slovo House,English,8.1,2020,13+,81.0
430,Al Mallu,Malayalam,4.1,2020,All,128.0
431,Upstream Color,English,6.7,2013,13+,96.0
432,Desh Re Joya Dada Pardesh Joya,Gujarati,7.4,1998,All,164.0
433,Rush Hour 2,Hindi,6.6,2001,18+,90.0
434,Adhipathi,Telugu,5.4,2001,NR,151.0
435,Bangaru Bullodu,Telugu,5.7,1993,All,153.0
437,Paattinte Palazhy,Malayalam,4.4,2010,All,130.0
438,Oohalu Gusagusalade,Telugu,7.7,2014,All,131.0
439,Deck the Halls,English,5.0,2006,13+,92.0
441,Fera Feri Hera Pheri,Gujarati,7.4,2018,13+,143.0
443,Lechmi,Malayalam,4.9,2017,18+,149.0
444,Anthony Kaun Hai,Hindi,5.2,2006,13+,122.0
445,A Call to Spy,Hindi,6.3,2020,16+,124.0
446,Astro Boy,English,6.3,2009,7+,93.0
450,Born To Race : Fast Track,Hindi,5.3,2014,16+,97.0
452,Kempe Gowda,Kannada,7.1,2011,NR,140.0
453,The Prince and Me,English,5.9,2004,7+,110.0
454,Har Har Byomkesh,Bengali,6.8,2017,13+,113.0
455,Dilliwala Rajakumaran,Malayalam,5.9,1996,NR,108.0
456,Bombhaat,Telugu,6.4,2020,16+,132.0
458,Sadhuram 2,Tamil,6.8,2016,13+,92.0
459,Chakra,Bengali,8.7,2006,NR,122.0
460,Just a Sigh,English,6.4,2013,7+,100.0
462,Nil Battey Sannata,Hindi,8.3,2016,NR,104.0
464,The Raid: Redemption,Telugu,7.6,2012,18+,97.0
465,Final Destination 5,Telugu,5.8,2011,18+,91.0
467,The Courier,Tamil,4.8,2019,18+,99.0
468,Daredevil,English,5.3,2003,18+,103.0
469,It Felt Like Love,English,5.7,2013,NR,82.0
470,High School 2,Telugu,5.4,2011,NR,105.0
471,Surya,Bengali,5.7,2017,13+,141.0
474,Journey,Kannada,6.3,2011,NR,120.0
475,Dora And The Lost City Of Gold,English,6.1,2019,7+,102.0
476,Royal Bengal Rahasya,Bengali,7.2,2017,13+,107.0
480,Ubiquity,English,6.6,2020,13+,55.0
481,Superman Returns,Tamil,6.0,2006,All,154.0
483,Chokher Bali,Bengali,7.0,2003,13+,149.0
484,Clash Of The Titans,English,5.8,2010,13+,106.0
485,Jhoothi Shaan,Hindi,5.2,1991,NR,139.0
486,Khabardar,Marathi,6.9,2005,All,150.0
487,Hero No. 1,Hindi,6.1,1997,NR,130.0
488,Churchill,English,6.1,2017,16+,104.0
490,Marte Dam Tak,Hindi,4.8,1987,All,125.0
492,Abhoyer Biye,Bengali,6.2,2017,13+,127.0
493,Anhonee,Hindi,7.2,1972,All,127.0
494,Sullu,Malayalam,6.6,2019,All,102.0
495,City Of Gold - Mumbai 1982,Hindi,6.8,2010,13+,144.0
