"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
602,"Another 48 Hrs.","English",5.9,1990,"18+",95
603,"Aruvi","Tamil",8.5,2017,"13+",130
604,"Malibu Shark Attack","Telugu",3.2,2009,"18+",86
605,"Chakravarthy","Tamil",7,1995,"NR",134
606,"Phuntroo","Marathi",5.5,2016,"NR",130
607,"Shah Jahan Regency","Bengali",6.5,2019,"13+",153
608,"Bakrid","Tamil",7.3,2019,"All",118
610,"Jumper","English",6.1,2008,"13+",88
613,"Yevadu","Telugu",5.6,2014,"13+",165
614,"Badaltey Rishtey","Hindi",6.8,1978,"All",136
615,"Pata Nahi Rabb Kehdeyan Rangan Ch Raazi","Punjabi",6.5,2012,"All",153
616,"Thudarkadha","Malayalam",6.5,1991,"NR",141
617,"The Cat, the Reverend and the Slave","English",7.3,2009,"NR",79
619,"Avane Srimannarayana","Kannada",7.9,2019,"13+",183
620,"Mortal Kombat Legends: Scorpion's Revenge","English",7.4,2020,"18+",79
621,"Vellai Pookal","Tamil",7.2,2019,"13+",120
623,"Hera Pheri","Hindi",8.2,2000,"7+",133
624,"Paarthale Paravasam","Tamil",5.4,2001,"13+",146
625,"Perumazhakkalam","Malayalam",7.1,2004,"All",111
626,"Mana Mecchida Madadi","Kannada",7.6,1963,"NR",157
628,"Super Sketch","Telugu",6.8,2018,"18+",119
629,"Tasher Ghawr","Bengali",6,2020,"13+",47
630,"Tyagi","Hindi",5.1,1992,"All",136
631,"Mumbai Matinee","Hindi",5.2,2003,"13+",115
632,"Imaikkaa Nodigal","Tamil",7.4,2018,"16+",168
633,"The Legend of Tarzan","Hindi",6.2,2016,"13+",109
634,"Pati Parameshwar","Bengali",4.6,2014,"All",131
636,"Deewane","Hindi",4.7,2000,"13+",160
637,"Makalkku","Malayalam",6.7,2005,"All",92
640,"Flight 192","English",5,2016,"16+",85
641,"Ta Ra Rum Pum","Hindi",5.6,2007,"All",155
642,"Anand","Hindi",8.4,1970,"All",116
644,"Ente Ummante Peru","Malayalam",6.7,2018,"13+",128
645,"Rajoo Dada","Hindi",3.8,1992,"NR",125
646,"Birds of Prey","English",6.1,2020,"18+",108
649,"Rhythm","Tamil",7.5,2000,"All",141
650,"Red Dragon","English",7.2,2002,"18+",124
652,"Refugee","Bengali",4.9,2017,"13+",155
653,"Take One","Bengali",5.1,2014,"NR",97
655,"Alexander The Great","Malayalam",5.8,2010,"NR",144
658,"Thousand Oru Note Paranja Katha","Malayalam",2,2015,"All",129
659,"Saaho (Telugu)","Telugu",5.2,2019,"13+",169
660,"Thallana","Kannada",6.6,2013,"All",109
661,"Adam Resurrected","English",6.3,2008,"16+",106
662,"Iniyum Kadha Thudarum","Malayalam",7,1985,"NR",139
664,"Men in Black II","English",6.2,2002,"16+",88
665,"Khwab","Hindi",6,1980,"All",133
666,"Chandramukhi","Telugu",7.1,1990,"NR",82
667,"Little Women","Telugu",7.8,2019,"All",134
669,"Bioscope","Marathi",5.8,2015,"13+",131
670,"Ahankaar","Hindi",5.9,1995,"All",155
671,"Aflatoon","Hindi",4.6,1997,"13+",147
672,"Kaly","Malayalam",5.3,2018,"All",153
673,"Pail Te Sumbaran","Marathi",8,2009,"13+",129
674,"Munthanai Mudichu","Tamil",6.9,1983,"18+",150
675,"Baap Numbri Beta Dus Numbri","Hindi",6,1990,"13+",146
676,"Gringo","Telugu",6.1,2018,"16+",106
677,"Asehi Ekada Vhave","Marathi",7,2018,"NR",119
680,"The Goldfinch","English",6.3,2019,"18+",149
681,"Bazzimaat","Bengali",5.6,2008,"NR",158
682,"Donnie Darko","English",8,2001,"18+",113
684,"The Bag Man","English",5.2,2014,"18+",104
685,"Silencer","Malayalam",8.1,2020,"All",104
687,"The Smurfs 2","Tamil",5.3,2013,"7+",104
689,"Chambal","Kannada",7.4,2019,"13+",109
690,"Hello Brother","Hindi",4.7,1999,"13+",128
691,"Prince","Hindi",4.2,2010,"13+",129
694,"Mumbhai Connection","Hindi",5.2,2014,"NR",88
695,"Wish You Happy Breakup","Telugu",7.4,2016,"13+",105
696,"Dumb and Dumber To","English",5.6,2014,"18+",104
697,"Minugurulu","Kannada",7.5,2014,"13+",117
698,"American Pie 2","English",6.4,2001,"13+",104
699,"A Dark Room","English",9.4,2020,"13+",52
700,"Khajoor Pe Atke","Hindi",5.6,2018,"NR",118
701,"Liar, Liar","English",6.9,1997,"16+",86
702,"Uriyadi","Tamil",8,2016,"18+",90
704,"The Lift","English",4.6,2020,"16+",70
705,"Resident Evil: Apocalypse","English",6.2,2004,"18+",93
706,"Maryada Ramanna","Telugu",7.4,2010,"All",130
708,"Mahanati (Malayalam)","Malayalam",8.5,2018,"All",166
709,"Percy","English",6.7,1989,"NR",123
711,"Legend Of Buddha","Hindi",6.6,2004,"All",87
712,"Luv Ka The End","Hindi",4.8,2011,"13+",106
713,"Waqt Ki Awaz","Hindi",6.3,1988,"18+",156
714,"Unhinged","Hindi",6,2020,"18+",90
715,"Sapnay","Hindi",7,1997,"All",142
716,"Kickboxer: Retaliation","English",5,2018,"18+",110
717,"Bhalobasa Bhalobasa","Bengali",7.1,2017,"13+",139
719,"One Good Turn","English",5.2,1996,"18+",88
720,"The Incredible Hulk","English",6.7,2008,"13+",112
